Name,Symbol,Price (USD),24h Change (%),7d Change (%),Market Cap,24h Volume,Timestamp
TRON,TRX,0.289834,0.86148,1.9686851083428456,27468862276,457795806,2025-07-10 02:14:33
Dogecoin,DOGE,0.181939,6.2739,6.456210655969893,27270916947,1807461148,2025-07-10 02:14:33
Lido Staked Ether,STETH,2773.8,6.15795,6.888752902311135,25329575167,40640529,2025-07-10 02:14:33
Bitcoin,BTC,111397.0,2.23749,2.037408639436105,2215718025949,33874862351,2025-07-10 02:15:34
Ethereum,ETH,2775.9,6.1904,6.917243554206812,335222204087,24488390228,2025-07-10 02:15:34
Tether,USDT,1.0,0.00807,-0.0126956398142836,158703397033,67386451047,2025-07-10 02:15:34
XRP,XRP,2.41,4.55107,7.345247835261803,142617441051,4171674816,2025-07-10 02:15:34
BNB,BNB,669.84,1.44768,1.1410121322683435,97802986067,853134016,2025-07-10 02:15:34
Solana,SOL,157.64,3.9467,2.607579879461288,84504132651,4314963661,2025-07-10 02:15:34
USDC,USDC,0.999904,0.00115,0.0053496582146006,61891777140,5062325977,2025-07-10 02:15:34
TRON,TRX,0.289842,0.86452,1.9717585671672813,27468862276,459139669,2025-07-10 02:15:34
Dogecoin,DOGE,0.181897,6.2492,6.431473102935563,27280615472,1807349459,2025-07-10 02:15:34
Lido Staked Ether,STETH,2773.62,6.15101,6.881767685037289,25316875804,40691277,2025-07-10 02:15:34
Bitcoin,BTC,111386.0,2.21554,2.027477269169257,2215718025949,33879891051,2025-07-10 02:16:35
Ethereum,ETH,2775.7,6.13202,6.909464932213883,335222204087,24433222488,2025-07-10 02:16:35
Tether,USDT,1.0,0.00859,-0.0128159337638491,158703397033,67402218250,2025-07-10 02:16:35
XRP,XRP,2.41,4.49962,7.3284217202282305,142617441051,4177040309,2025-07-10 02:16:35
BNB,BNB,669.85,1.44934,1.142672283835036,97717925818,853577977,2025-07-10 02:16:35
Solana,SOL,157.61,3.94796,2.587587364735444,84504132651,4315362228,2025-07-10 02:16:35
USDC,USDC,0.999904,0.00116,0.0053585989629884,61891777140,5981402628,2025-07-10 02:16:35
TRON,TRX,0.289824,0.83906,1.965265316679963,27468692763,458597501,2025-07-10 02:16:35
Dogecoin,DOGE,0.181877,6.28712,6.419856733489637,27280615472,1808985000,2025-07-10 02:16:35
Lido Staked Ether,STETH,2772.58,6.07834,6.841843389744423,25316875804,41044607,2025-07-10 02:16:35
Bitcoin,BTC,111386.0,2.21554,2.027477269169257,2215718025949,33879891051,2025-07-10 02:17:35
Ethereum,ETH,2775.7,6.13202,6.909464932213883,335222204087,24433222488,2025-07-10 02:17:35
Tether,USDT,1.0,0.00859,-0.0128159337638491,158703397033,67402218250,2025-07-10 02:17:35
XRP,XRP,2.41,4.49962,7.3284217202282305,142617441051,4177040309,2025-07-10 02:17:35
BNB,BNB,669.85,1.44934,1.142672283835036,97717925818,853577977,2025-07-10 02:17:35
Solana,SOL,157.61,3.94796,2.587587364735444,84504132651,4315362228,2025-07-10 02:17:35
